scientific.name;source;occurrence;motherbond;motherbond.source;pairbond;pairbond.source;grade;pauly.level;brain.size;body.weight;sex;family;number.prey;source.prey;n.prey;method.prey;names.prey;groups.prey;species
Otaria byronia;Bininda-Emonds 2000;pacific south america, atlantic south america;;;;;;4;470;144;f;Otariidae;3;Sepu_lveda et al. 2015;8;_13C and _15 ;actinopterygii, cephalopoda, malacostraca, chondrichthyes;3;Otariabyronia
Phocarctos hookeri ;Bininda-Emonds 2000;new zealand;;;polygynous;;;4;417,5;364;m;Otariidae;5;Roberts et al. 2015;166;scat, regurgitate;actinopterygii, cephalopoda, aves, mammalia, chondrichthyes, malacotraca;4;Phocarctoshookeri
Phocarctos hookeri ;Bininda-Emonds 2000;new zealand;;;;;;4;370;183;f;Otariidae;5;Roberts et al. 2015;166;scat, regurgitate;actinopterygii, cephalopoda, aves, mammalia, chondrichthyes, malacotraca;4;Phocarctoshookeri
Zalophus californianus;Sacher and Staffeldt 1974;pacific north america;;;;;;4,1;363;91;f;Otariidae;3;Garcia-Rodr’guez et al. 2004;1273;scat;actinopterygii, cephalopoda, crustacea;3;Zalophuscalifornianus
Zalophus californianus;King 1983;pacific north america;;;;;;4,1;375;;;Otariidae;3;Garcia-Rodr’guez et al. 2004;1273;scat;actinopterygii, cephalopoda, crustacea;3;Zalophuscalifornianus
Zalophus californianus;Bininda-Emonds 2000;pacific north america;;;;;;4,1;405;91;f;Otariidae;3;Garcia-Rodr’guez et al. 2004;1273;scat;actinopterygii, cephalopoda, crustacea;3;Zalophuscalifornianus
Zalophus californianus;Bininda-Emonds 2000;pacific north america;;;;;;4,1;360;;;Otariidae;3;Garcia-Rodr’guez et al. 2004;1273;scat;actinopterygii, cephalopoda, crustacea;3;Zalophuscalifornianus
Odobenus rosmarus;Crile and Quiring 1940;arctic, subarctic;;;;;;3,4;1126;1232,95;m;Odobenidae ;7;Bowles et al. 2013;70;dna;bivalvia, cephalopoda, priapulida, polychaeta, malacostraca, ophiuroidea, holothuroidea;2;Odobenusrosmarus
Odobenus rosmarus;King 1983;arctic, subarctic;;;;;;3,4;1000;;;Odobenidae ;7;Bowles et al. 2013;70;dna;bivalvia, cephalopoda, priapulida, polychaeta, malacostraca, ophiuroidea, holothuroidea;2;Odobenusrosmarus
Odobenus rosmarus;Bininda-Emonds 2000;arctic, subarctic;;;;;;3,4;1480;1232,95;m;Odobenidae ;7;Bowles et al. 2013;70;dna;bivalvia, cephalopoda, priapulida, polychaeta, malacostraca, ophiuroidea, holothuroidea;2;Odobenusrosmarus
Odobenus rosmarus;Bininda-Emonds 2000;arctic, subarctic;;;;;;3,4;1340,5;811,5;f;Odobenidae ;7;Bowles et al. 2013;70;dna;bivalvia, cephalopoda, priapulida, polychaeta, malacostraca, ophiuroidea, holothuroidea;2;Odobenusrosmarus
Cystophora cristata ;Bininda-Emonds 2000;north atlantic, subartic;;;;;;4,2;480;343,18;m;Phocidae;3;Haug et al. 2007;20;stomach, dead;actinopterygii, cephalopoda, malacostraca;3;Cystophoracristata
Cystophora cristata ;Bininda-Emonds 2000;north atlantic, subartic;;;;;;4,2;430;222,5;f;Phocidae;3;Haug et al. 2007;20;stomach, dead;actinopterygii, cephalopoda, malacostraca;3;Cystophoracristata
Erignathus barbatus;Crile and Quiring 1940;arctic, subarctic;;;;;;3,4;460;276,36;f;Phocidae;7;Finley et al. 1983;36;stomach, dead;actinopterygii, cephalopoda,  malacotraca, bivalvia, polychaeta, holothuroidea, anthozoa;3;Erignathusbarbatus
Erignathus barbatus;Bininda-Emonds 2000;arctic, subarctic;;;;;;3,4;420;;;Phocidae;7;Finley et al. 1983;36;stomach, dead;actinopterygii, cephalopoda,  malacotraca, bivalvia, polychaeta, holothuroidea, anthozoa;3;Erignathusbarbatus
Erignathus barbatus;Bininda-Emonds 2000;arctic, subarctic;;;;;;3,4;330;;;Phocidae;7;Finley et al. 1983;36;stomach, dead;actinopterygii, cephalopoda,  malacotraca, bivalvia, polychaeta, holothuroidea, anthozoa;3;Erignathusbarbatus
Halichoerus grypus ;Bininda-Emonds 2000;north atlantic, subartic;;;;;;4;342,5;233;m;Phocidae;1;Lundstro_m et al. 2007;190;stomach, dead;actinopterygii;1;Halichoerusgrypus
Halichoerus grypus ;Bininda-Emonds 2000;north atlantic, subartic;;;;;;4;272,5;155;f;Phocidae;1;Lundstro_m et al. 2007;190;stomach, dead;actinopterygii;1;Halichoerusgrypus
Hydrurga leptonyx ;Bininda-Emonds 2000;antarctic, subantarctic;;;;;;4,1;765;324;m;Phocidae;4;Hall-Aspland et al. 2004;74;scat, regurgitate, stomach;actinopterygii, aves, mammalia, malacostraca;3;Hydrurgaleptonyx
Hydrurga leptonyx ;Bininda-Emonds 2000;antarctic, subantarctic;;;;;;4,1;660;367;f;Phocidae;4;Hall-Aspland et al. 2004;74;scat, regurgitate, stomach;actinopterygii, aves, mammalia, malacostraca;3;Hydrurgaleptonyx
Leptonychotes weddellii;Robin 1973;antarctic;;;;;;4;520;;;Phocidae;9;Casaux et al. 2008;70;scat;actinopterygii, aves, crustacea, bivalvia, gastropoda, cephalopoda, malacostraca;4;Leptonychotesweddellii
Leptonychotes weddellii;Sacher and Staffeldt 1974;antarctic;;;;;;4;550;;;Phocidae;9;Casaux et al. 2008;70;scat;actinopterygii, aves, crustacea, bivalvia, gastropoda, cephalopoda, malacostraca;4;Leptonychotesweddellii
Leptonychotes weddellii;Ferren and Elsner 1979;antarctic;;;;;;4;500;;;Phocidae;9;Casaux et al. 2008;70;scat;actinopterygii, aves, crustacea, bivalvia, gastropoda, cephalopoda, malacostraca;4;Leptonychotesweddellii
Leptonychotes weddellii;Bininda-Emonds 2000;antarctic;;;;;;4;535;360;m;Phocidae;9;Casaux et al. 2008;70;scat;actinopterygii, aves, crustacea, bivalvia, gastropoda, cephalopoda, malacostraca;4;Leptonychotesweddellii
Leptonychotes weddellii;Bininda-Emonds 2000;antarctic;;;;;;4;637,5;376;f;Phocidae;9;Casaux et al. 2008;70;scat;actinopterygii, aves, crustacea, bivalvia, gastropoda, cephalopoda, malacostraca;4;Leptonychotesweddellii
Lobodon carcinophagus;Bryden and Erickson 1976;antarctic;;;;;;3,3;541,5;220,5;m;Phocidae;3;Marine Mammal Enceclopedia;;;actinopterygii, cephalopoda, malacostraca;3;Lobodoncarcinophagus
Lobodon carcinophagus;Bryden and Erickson 1976;antarctic;;;;;;3,3;520;224;f;Phocidae;3;Marine Mammal Enceclopedia;;;actinopterygii, cephalopoda, malacostraca;3;Lobodoncarcinophagus
Lobodon carcinophagus;Bininda-Emonds 2000;antarctic;;;;;;3,3;615;220,5;m;Phocidae;3;Marine Mammal Enceclopedia;;;actinopterygii, cephalopoda, malacostraca;3;Lobodoncarcinophagus
Lobodon carcinophagus;Bininda-Emonds 2000;antarctic;;;;;;3,3;557,5;224;f;Phocidae;3;Marine Mammal Enceclopedia;;;actinopterygii, cephalopoda, malacostraca;3;Lobodoncarcinophagus
Mirounga angustirostris ;Stewart and Huber 1993 ;pacific north america;;;;;;4,3;700;2275;m;Phocidae;7;Elephant Seals: Population Ecology, Behavior, and Physiology;195;scat;actinopterygii, cephalopoda, malacostraca, chondrichthyes, myxini, cephalaspidomorphi, tunicata;3;Miroungaangustirostris
Mirounga angustirostris ;Stewart and Huber 1993 ;pacific north america;;;;;;4,3;640;700;f;Phocidae;7;Elephant Seals: Population Ecology, Behavior, and Physiology;195;scat;actinopterygii, cephalopoda, malacostraca, chondrichthyes, myxini, cephalaspidomorphi, tunicata;3;Miroungaangustirostris
Mirounga leonina;Ling and Bryden 1992 ;antarctic, subantarctic;;;;;;4,3;1350;3510;m;Phocidae;9;Daneri et al. 2015;232;stomach, live;actinopterygii, cephalopoda, ascidiacea, bivalvia, gastropoda, malocostraca, algea, bryozoa, polychaeta;3;Miroungaleonina
Mirounga leonina;Ling and Bryden 1992 ;antarctic, subantarctic;;;;;;4,3;900;503;f;Phocidae;9;Daneri et al. 2015;232;stomach, live;actinopterygii, cephalopoda, ascidiacea, bivalvia, gastropoda, malocostraca, algea, bryozoa, polychaeta;3;Miroungaleonina
Mirounga leonina;Bininda-Emonds 2000;antarctic, subantarctic;;;;;;4,3;1512,5;3510;m;Phocidae;9;Daneri et al. 2015;232;stomach, live;actinopterygii, cephalopoda, ascidiacea, bivalvia, gastropoda, malocostraca, algea, bryozoa, polychaeta;3;Miroungaleonina
Mirounga leonina;Bininda-Emonds 2000;antarctic, subantarctic;;;;;;4,3;900;503;f;Phocidae;9;Daneri et al. 2015;232;stomach, live;actinopterygii, cephalopoda, ascidiacea, bivalvia, gastropoda, malocostraca, algea, bryozoa, polychaeta;3;Miroungaleonina
Monachus monachus ;Bininda-Emonds 2000;mediterian, atlantic africa;;;;;;4;480;260;m;Phocidae;6;Pierce et al. 2011;27;stomach, dead;actinopterygii, cephalopoda, chondrichthyes, bivalvia, gastropoda, malacostraca;3;Monachusmonachus
Monachus monachus ;Bininda-Emonds 2000;mediterian, atlantic africa;;;;;;4;480;301;f;Phocidae;6;Pierce et al. 2011;27;stomach, dead;actinopterygii, cephalopoda, chondrichthyes, bivalvia, gastropoda, malacostraca;3;Monachusmonachus
Monachus schauinslandi ;Bininda-Emonds 2000;hawai;;;;;;4,1;370;173;m;Phocidae;3;Goodman-Lowe 1998;940;scat, regurgitate;actinopterygii, cephalopoda, malacostraca;3;Monachusschauinslandi
Monachus tropicalis ;Bininda-Emonds 2000;;;;;;;;460;;m;Phocidae;;;;;;;Monachustropicalis
Ommatophoca rossii;Bryden and Erickson 1976;antarctic;;;;;;4,1;390;173,8;m;Phocidae;;;;;;;Ommatophocarossii
Ommatophoca rossii;Bininda-Emonds 2000;antarctic;;;;;;4,1;460;173,8;m;Phocidae;;;;;;;Ommatophocarossii
Ommatophoca rossii;Bininda-Emonds 2000;antarctic;;;;;;4,1;530;185;f;Phocidae;3;Laws 1977;;;;2;Ommatophocarossii
Phoca caspica;Bininda-Emonds 2000;caspian sea;;;;;;;165;70,5;m;Phocidae;3;Mammals in the Seas: Report;;;actinopterygii, cephalopoda, malacostraca;3;Phocacaspica
Phoca caspica;Bininda-Emonds 2000;caspian sea;;;;;;;160;55;f;Phocidae;3;Mammals in the Seas: Report;;;actinopterygii, cephalopoda, malacostraca;3;Phocacaspica
Phoca fasciata ;Bininda-Emonds 2000;north pacific;;;;;;3,8;257,5;94,8;m;Phocidae;5;Frost et al. 1980;61;stomach, dead;actinopterygii, cephalopoda, crustacea, bivalvia, gastropoda;3;Phocafasciata
Phoca fasciata ;Bininda-Emonds 2000;north pacific;;;;;;3,8;240;80,36;f;Phocidae;5;Frost et al. 1980;61;stomach, dead;actinopterygii, cephalopoda, crustacea, bivalvia, gastropoda;3;Phocafasciata
Phoca groenlandica;Sacher and StafTeldt 1974;north atlantic, subartic, arctic;;;;;;3,8;442;;;Phocidae;4;Lawson et al. 1997;724;stomach, dead;actinopterygii, cephalopoda, bivalvia, malacostraca;3;Phocagroenlandica
Phoca groenlandica;Leshko and Nikitenko 1975;north atlantic, subartic, arctic;;;;;;3,8;205,5;;;Phocidae;4;Lawson et al. 1997;724;stomach, dead;actinopterygii, cephalopoda, bivalvia, malacostraca;3;Phocagroenlandica
Phoca groenlandica;Kovacs and Lavigne 1985;north atlantic, subartic, arctic;;;;;;3,8;278;;;Phocidae;4;Lawson et al. 1997;724;stomach, dead;actinopterygii, cephalopoda, bivalvia, malacostraca;3;Phocagroenlandica
Phoca groenlandica;Bininda-Emonds 2000;north atlantic, subartic, arctic;;;;;;3,8;297,5;135;m;Phocidae;4;Lawson et al. 1997;724;stomach, dead;actinopterygii, cephalopoda, bivalvia, malacostraca;3;Phocagroenlandica
